id,title,avatar,rating,snippet,likes,date,iso_date,response
8e457b1f-29a2-4c80-938e-c9130e09356f,Shoshie,https://play-lh.googleusercontent.com/a-/ALV-UjX5n7778WYCevbi94ZhWPXmNwIRmvuMBo63XEVv-ynGhCb591QM,4.0,"A good app, however I would like to know if or and how you can change the colours of the pieces, but if you cannot I would recommend adding that in the next update, I appreciate there are no ads too. Normally, I hate chess, but this app has increased my interest in the game. The only problem my mom and I have found is we have gotten the gold membership, but we are having trouble unsubscribeing. Otherwise a grate app love the puzzles and videos and games with real people, I highly recommend! ♟️♟️",4,"December 05, 2024",2024-12-05T21:02:24Z,
805d267a-27e1-48c4-b29a-5126c0ef17cf,Jefferey Reese,https://play-lh.googleusercontent.com/a-/ALV-UjWeZom7Yem94XP4aWarcMSUj5O61gBb0dLcV7Qh5gWaG0z8Vf_8,1.0,uninstalling. The latest update that forces animations with distracting movement and sounds is intolerable. Used to like it before.,4,"October 15, 2024",2024-10-15T22:30:18Z,"{'title': 'Chess.com', 'snippet': 'We\'re sorry to hear you\'re having difficulty adjusting the sounds, Jefferey. Here\'s how to mute them! Log into your account from the ChessKid.com website and click on the ""Settings"" wheel next to your profile picture. Next, in the area that says ""Sounds"", toggle that button to ""Off"", and then click ""Save"" at the bottom of the page :)', 'date': 'October 10, 2023', 'iso_date': '2023-10-10T00:55:42Z'}"
3cf15257-e5fa-432c-9565-8962f362192d,Ashley Mancini,https://play-lh.googleusercontent.com/a-/ALV-UjU_psRtsvOooQwSDPnkU6EQxgkK9eMJhXMtvf1qfgnChDa-BBO5bg,1.0,We couldn't play two players and have the game synced to each other because every time we added one the other one got kicked off or it got really laggy,3,"October 28, 2024",2024-10-28T20:51:46Z,
311431fb-3cf3-462c-8a92-7328e9fec45a,Clark Pearson,https://play-lh.googleusercontent.com/a-/ALV-UjUd8hIblBpI46EUshcTR94r9IuOueuL_k966udEOKE0rGWqVoJgzQ,5.0,"Great games, tutorials, and puzzles for kids AND their parents",2,"December 12, 2024",2024-12-12T05:26:05Z,
d628ec44-4d0d-4a27-81b3-0fcc466e57e6,Rakesh Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjVFy7VDbZqfu0EwnMWHuM6rHZXy5pJMt8AryPrcxuSrLRlTCrei,4.0,"I am happy to see this this app because it is good to teach to chess to everyone in English language. I downloaded this app because I have seen 4 time again - again rating and I impressed by this rating but my mind occurred doubt but when I see by youtube about this app I really so much got happy. So, I downloaded this app to learn chess . But one problem is that this app upgradation cost is high.",18,"September 07, 2024",2024-09-07T11:52:30Z,"{'title': 'Chess.com', 'snippet': ""We're glad you're enjoying playing and improving your chess skills on ChessKid! Gold membership can be a great option to practice with Lessons, Puzzles and more, but it will always be free to play chess with other players around the world. :)"", 'date': 'September 09, 2024', 'iso_date': '2024-09-09T16:51:00Z'}"
c9eb2ff1-3971-4617-a7ab-9e748b156ad0,Ashley Ward,https://play-lh.googleusercontent.com/a-/ALV-UjUGKow2ZyZjc-kmlvUC50wxkLBfVkuiV-hQgylwM7OMHst9khW4,3.0,"Seems like it works well, except for one thing: I got this app to play chess with my sister and her son. When I try to become friends with my sister, it says I can only become friends with kids. When I try to become friends with her son, it says I can only become friends with adults. WHICH IS IT???",3,"August 16, 2024",2024-08-16T22:39:22Z,"{'title': 'Chess.com', 'snippet': ""Thank you for your review! When playing on ChessKid, a Kid may only play chess with their Guardians' linked accounts. Here is an article with information: https://support.chesskid.com/en/articles/8863569-how-to-connect-to-my-kid-through-guardianship. Please visit this link to contact us for assistance, we're here to help: www.chesskid.com/support"", 'date': 'August 19, 2024', 'iso_date': '2024-08-19T21:40:45Z'}"
6a3cebc4-9b12-4962-a7f3-a5f64a6a40fa,Glück Meister,https://play-lh.googleusercontent.com/a-/ALV-UjW6Evv08uWga_ERud5Y8O27e967xRry-17whT5WPo2uDX4L5o0,5.0,"Super simple and good app. Nobody can chat with my child or make a friend request, which is great. Friends can still be made after a good match by requesting a rematch, but the focus is purely play and I like that a lot. The upgraded version must be worth it, but we aren't that far yet. Highly recommended.",127,"September 26, 2023",2023-09-26T20:28:07Z,"{'title': 'Chess.com', 'snippet': 'Hi there❣️ Thank you so much for this feedback! We appreciate your support 😁.', 'date': 'September 27, 2023', 'iso_date': '2023-09-27T00:05:27Z'}"
72fc0b3d-3a47-4c85-ac22-fca7e4c20aaa,Klari Szenasi,https://play-lh.googleusercontent.com/a/ACg8ocI0ytvy97GjUD1VOs-MmONCskO5z57YcO5zrI2W6guzf-7qRg=mo,3.0,"My kid likes it, but the software has serious flaws that haven't been fixed for a long time. E.g. it often gets stuck in lessons, you need to quit and reenter. The lesson videos often just don't play. After renewing my subscription, we are no longer able to start lessons. You need to remember a generated user name, you cannot use your email to log in, and the reminder does not work. I wrote to them, but their solutions do not work on my Samsung Galaxy A12 with latest updates.",16,"February 08, 2023",2023-02-08T20:08:41Z,"{'title': 'Chess.com', 'snippet': ""Thank you for this feedback :) I'm sorry to hear about your poor user experience! I would suggest making sure you’re on the latest version of the operating system available through the App Store. Please email us at support@chesskid.com so that we can help you with resetting the password and any other issues you might be encountering :)"", 'date': 'February 08, 2023', 'iso_date': '2023-02-08T19:26:58Z'}"
4002472e-3063-4c15-af6e-62e30329b56a,Anish PV,https://play-lh.googleusercontent.com/a/ACg8ocJHyBSXBwB50nf6zxsnXmuVmKWtjCOUI1w5yQkB2FIol6k2Ow=mo,2.0,"Missing videos for below important topics - Discovered check, X-ray attack, Overload, Domination, Invasion, Queen activity, Blockade, Key squares, Diagonal opposition, Shoudlering, Karpov Distance.",0,"December 10, 2024",2024-12-10T11:45:25Z,
363ade73-b160-439e-af9c-7ca4fa6e682d,Mateo Escobar,https://play-lh.googleusercontent.com/a/ACg8ocKbqwCwsMxxRz8a3CUUC3EVwPCDFyaiuCp-sO5kX-DmzFaduQ=mo,5.0,i practice alot of it since I have a chess tournament coming up.,7,"November 06, 2024",2024-11-06T02:23:44Z,
